"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.161356439E0,7.739999890E-1,2.220000029E-1,-8.330000043E-1,1.158554699E0
1.171093361E0,8.709999919E-1,3.269999921E-1,-7.440000176E-1,1.191262359E0
1.180830255E0,1.024000049E0,4.219999909E-1,-7.020000219E-1,1.311283388E0
1.190567107E0,1.136999965E0,4.939999878E-1,-6.620000005E-1,1.405364333E0
1.200304028E0,1.156999946E0,5.500000119E-1,-5.749999881E-1,1.404198659E0
1.210040722E0,1.103000045E0,5.669999719E-1,-4.359999895E-1,1.314607948E0
1.219777643E0,1.021000028E0,5.820000172E-1,-2.630000114E-1,1.204298170E0
1.229514566E0,8.529999852E-1,6.359999776E-1,-1.280000061E-1,1.071675766E0
1.239251500E0,6.970000267E-1,7.030000091E-1,-3.299999982E-2,9.905084805E-1
1.248988423E0,5.740000010E-1,7.170000076E-1,6.400000304E-2,9.206850778E-1
1.258725266E0,5.000000000E-1,7.269999981E-1,1.449999958E-1,8.941778324E-1
1.268461958E0,4.239999950E-1,7.009999752E-1,2.339999974E-1,8.520169950E-1
1.278199115E0,4.460000098E-1,6.890000105E-1,2.849999964E-1,8.688279583E-1
1.287935833E0,5.120000243E-1,7.059999704E-1,2.960000038E-1,9.209755618E-1
1.297672678E0,5.059999824E-1,6.899999976E-1,2.610000074E-1,8.945708372E-1
1.307409606E0,4.140000045E-1,7.110000253E-1,2.010000050E-1,8.469463039E-1
1.317146529E0,2.790000141E-1,7.720000148E-1,2.890000045E-1,8.702563032E-1
1.326883418E0,1.920000017E-1,8.159999847E-1,6.259999871E-1,1.046229401E0
1.336620112E0,2.249999940E-1,7.049999833E-1,9.689999819E-1,1.219266558E0
1.346357018E0,2.899999917E-1,5.540000200E-1,1.166000009E0,1.323091848E0
1.356093941E0,3.400000036E-1,4.370000064E-1,1.319000006E0,1.430499921E0
1.365830785E0,3.709999919E-1,3.079999983E-1,1.486999989E0,1.563225498E0
1.375567706E0,3.910000026E-1,1.260000020E-1,1.613999963E0,1.665458760E0
1.385304644E0,4.070000052E-1,-1.070000008E-1,1.705000043E0,1.756167176E0
1.395041338E0,4.589999914E-1,-3.569999933E-1,1.669999957E0,1.768340986E0
1.404778249E0,4.569999874E-1,-5.419999957E-1,1.605999947E0,1.755519528E0
1.414515172E0,4.399999976E-1,-6.859999895E-1,1.523000002E0,1.727346227E0
1.424252020E0,4.519999921E-1,-7.760000229E-1,1.406999946E0,1.669170116E0
1.433988942E0,4.410000145E-1,-8.560000062E-1,1.159000039E0,1.506817213E0
1.443725875E0,4.709999859E-1,-9.070000052E-1,8.629999757E-1,1.337631846E0
1.453462569E0,4.939999878E-1,-9.480000138E-1,5.649999976E-1,1.209117451E0
1.463199518E0,5.220000148E-1,-9.589999914E-1,2.450000048E-1,1.119012959E0
1.472936366E0,5.159999728E-1,-9.350000024E-1,4.899999872E-2,1.069056582E0
1.482673393E0,5.899999738E-1,-8.889999986E-1,-1.169999987E-1,1.073363855E0
1.492410242E0,7.210000157E-1,-8.309999704E-1,-1.720000058E-1,1.113546575E0
1.502146958E0,8.330000043E-1,-7.960000038E-1,-2.409999967E-1,1.177109176E0
1.511883874E0,9.279999733E-1,-8.009999990E-1,-2.800000012E-1,1.257451768E0
1.521620797E0,1.059999943E0,-7.799999714E-1,-2.910000086E-1,1.347843032E0
1.531357645E0,1.141999960E0,-8.040000200E-1,-3.540000021E-1,1.440796982E0
1.541094586E0,1.213999987E0,-8.220000267E-1,-3.810000122E-1,1.514807255E0
1.550831509E0,1.274999976E0,-8.199999928E-1,-3.689999878E-1,1.560187783E0
1.560568442E0,1.273000002E0,-8.420000076E-1,-3.409999907E-1,1.563897059E0
1.570305136E0,1.218000054E0,-8.709999919E-1,-3.120000064E-1,1.529545397E0
1.580042057E0,1.100000024E0,-9.079999924E-1,-2.930000126E-1,1.456129474E0
1.589778980E0,1.004999995E0,-9.940000176E-1,-3.319999874E-1,1.451993463E0
1.599515833E0,9.160000086E-1,-1.139999986E0,-3.729999959E-1,1.509233242E0
1.609252754E0,8.799999952E-1,-1.294999957E0,-4.169999957E-1,1.620282036E0
1.618989730E0,7.770000100E-1,-1.421000004E0,-5.429999828E-1,1.708162465E0
1.628726425E0,7.450000048E-1,-1.580999970E0,-5.929999948E-1,1.845598794E0
1.638463341E0,8.579999804E-1,-1.832999945E0,-4.079999924E-1,2.064586341E0
1.648200278E0,9.470000267E-1,-2.125000000E0,-2.770000100E-1,2.342896296E0
1.657937201E0,9.819999933E-1,-2.374000072E0,-2.010000050E-1,2.576936424E0
1.667674054E0,8.840000033E-1,-2.539999962E0,-1.379999965E-1,2.692972300E0
1.677410747E0,6.909999847E-1,-2.640000105E0,-5.000000075E-2,2.729392154E0
1.687147673E0,4.709999859E-1,-2.684999943E0,1.140000001E-1,2.728380780E0
1.696884596E0,2.689999938E-1,-2.697000027E0,3.219999969E-1,2.729442093E0
1.706621524E0,6.400000304E-2,-2.658999920E0,5.149999857E-1,2.709169902E0
1.716358447E0,-1.289999932E-1,-2.572000027E0,6.190000176E-1,2.648581914E0
1.726095304E0,-3.930000067E-1,-2.466000080E0,5.889999866E-1,2.565643464E0
1.735832225E0,-6.230000257E-1,-2.362999916E0,4.659999907E-1,2.487780864E0
1.745568925E0,-7.149999738E-1,-2.232000113E0,3.179999888E-1,2.365200511E0
1.755305846E0,-7.730000019E-1,-2.150000095E0,4.800000042E-2,2.285242528E0
1.765042755E0,-7.649999857E-1,-2.051000118E0,-2.399999946E-1,2.202141335E0
1.774779603E0,-7.910000086E-1,-1.914000034E0,-4.749999940E-1,2.124782845E0
1.784516500E0,-8.130000234E-1,-1.766000032E0,-6.990000010E-1,2.065992777E0
1.794253423E0,-8.130000234E-1,-1.588000059E0,-8.920000196E-1,1.994586990E0
1.803990326E0,-8.690000176E-1,-1.417000055E0,-1.003999949E0,1.941923295E0
1.813727021E0,-8.709999919E-1,-1.259999990E0,-1.108999968E0,1.891063693E0
1.823463942E0,-8.349999785E-1,-1.095000029E0,-1.159999967E0,1.800513801E0
1.833200851E0,-7.049999833E-1,-8.880000114E-1,-1.133999944E0,1.603597477E0
1.842937699E0,-5.419999957E-1,-6.790000200E-1,-1.016000032E0,1.336810042E0
1.852674620E0,-3.310000002E-1,-5.270000100E-1,-8.899999857E-1,1.085997231E0
1.862411548E0,-1.400000006E-1,-3.989999890E-1,-7.239999771E-1,8.384372119E-1
1.872148242E0,7.299999893E-2,-2.509999871E-1,-4.490000010E-1,5.195488372E-1
1.881885159E0,2.680000067E-1,-1.129999980E-1,-1.330000013E-1,3.198155773E-1
1.891622007E0,4.709999859E-1,1.400000043E-2,1.059999987E-1,4.829834226E-1
