"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.528370803E0,-7.020000219E-1,-3.075000048E0,-4.008999825E0,5.101030182E0
1.538108420E0,-1.041000009E0,-3.104000092E0,-3.086999893E0,4.499785098E0
1.547846168E0,-1.258000016E0,-3.009999990E0,-1.881999969E0,3.766243204E0
1.557583786E0,-1.141000032E0,-3.017999887E0,-1.080000028E-1,3.228291870E0
1.567321582E0,-1.330999970E0,-2.578000069E0,2.257999897E0,3.676439692E0
1.577059199E0,-2.118000031E0,-1.838999987E0,4.672999859E0,5.450208506E0
1.586796947E0,-2.867000103E0,-1.490000010E0,6.181000233E0,6.974564753E0
1.596534564E0,-3.174999952E0,-1.424000025E0,6.973000050E0,7.793018058E0
1.606272346E0,-3.140000105E0,-1.396000028E0,6.885000229E0,7.694910324E0
1.616009964E0,-2.973000050E0,-1.174999952E0,5.611999989E0,6.458629735E0
1.625747726E0,-2.931999922E0,-4.169999957E-1,3.979000092E0,4.960136517E0
1.635485562E0,-2.984999895E0,3.289999962E-1,2.197000027E0,3.720923876E0
1.645223103E0,-3.539000034E0,1.419000030E0,9.079999924E-1,3.919508427E0
1.654960957E0,-2.723000050E0,1.429000020E0,-1.700000018E-1,3.079881544E0
1.664698497E0,-3.048000097E0,1.894000053E0,-7.639999986E-1,3.668955818E0
1.674436336E0,-2.917000055E0,1.899000049E0,-4.920000136E-1,3.515274459E0
1.684173954E0,-2.427999973E0,1.503999949E0,2.899999917E-2,2.856228407E0
1.693911716E0,-1.924999952E0,1.088999987E0,9.399999976E-1,2.403153300E0
1.703649333E0,-1.485000014E0,7.279999852E-1,1.981999993E0,2.581381993E0
1.713386867E0,-1.192999959E0,4.370000064E-1,3.056999922E0,3.310508485E0
1.723124711E0,-1.019999981E0,1.129999980E-1,3.796000004E0,3.932274786E0
1.732862495E0,-1.000000000E0,-7.100000232E-2,4.090000153E0,4.211073764E0
1.742600113E0,-9.570000172E-1,-1.209999993E-1,3.835999966E0,3.955424853E0
1.752337884E0,-8.659999967E-1,-4.999999888E-3,3.135999918E0,3.253379240E0
1.762075501E0,-9.169999957E-1,1.500000060E-1,2.246000051E0,2.430618280E0
1.771813269E0,-1.161999941E0,2.360000014E-1,1.430999994E0,1.858413530E0
1.781550886E0,-1.521000028E0,1.120000035E-1,9.430000186E-1,1.793107392E0
1.791288454E0,-1.745000005E0,-1.790000051E-1,5.929999948E-1,1.851678971E0
