"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.854343780E0,-2.600000054E-2,-1.999999955E-2,2.700000070E-2,4.248529214E-2
1.864080620E0,-4.100000113E-2,-2.899999917E-2,4.500000179E-2,6.743144819E-2
1.873817314E0,-1.700000092E-2,-1.200000010E-2,7.299999893E-2,7.590783805E-2
1.883554153E0,1.799999923E-2,3.000000026E-3,5.099999905E-2,5.416640910E-2
1.893290847E0,5.999999866E-2,4.000000190E-3,4.999999888E-3,6.034069804E-2
1.903027721E0,6.700000167E-2,1.099999994E-2,-1.300000027E-2,6.913031339E-2
1.912764415E0,9.200000018E-2,3.799999878E-2,-4.399999976E-2,1.088301425E-1
1.922501302E0,1.049999967E-1,5.999999866E-2,-9.099999815E-2,1.513472788E-1
1.932237996E0,1.110000014E-1,5.999999866E-2,-1.289999932E-1,1.804494345E-1
1.941974812E0,1.140000001E-1,5.499999970E-2,-1.239999980E-1,1.771919848E-1
1.951711429E0,1.260000020E-1,3.799999878E-2,-8.900000155E-2,1.588741662E-1
1.961448110E0,8.100000024E-2,2.300000004E-2,-2.400000021E-2,8.755569685E-2
1.971184957E0,2.700000070E-2,-3.000000026E-3,7.100000232E-2,7.601973670E-2
1.980921651E0,-2.700000070E-2,-3.500000015E-2,1.379999965E-1,1.449068635E-1
1.990658495E0,-6.499999762E-2,-8.900000155E-2,1.800000072E-1,2.110592394E-1
2.000395126E0,-9.200000018E-2,-8.399999887E-2,1.930000037E-1,2.297150436E-1
2.010132048E0,-1.030000001E-1,-8.100000024E-2,1.800000072E-1,2.226432183E-1
2.019868660E0,-1.000000015E-1,-4.500000179E-2,1.620000005E-1,1.956246421E-1
2.029605342E0,-1.089999974E-1,-3.500000015E-2,1.379999965E-1,1.793042065E-1
2.039342210E0,-6.199999899E-2,-1.499999966E-2,1.080000028E-1,1.254312579E-1
2.049078905E0,6.000000052E-3,-8.000000380E-3,4.800000042E-2,4.903060317E-2
2.058815745E0,2.899999917E-2,4.000000190E-3,1.999999955E-2,3.545419489E-2
2.068552439E0,5.900000036E-2,3.500000015E-2,1.300000027E-2,6.982120065E-2
2.078289268E0,2.099999972E-2,2.800000086E-2,-1.000000047E-3,3.501428332E-2
2.088025886E0,-4.999999888E-3,2.800000086E-2,-2.000000095E-3,2.851315569E-2
2.097762605E0,0.000000000E0,8.000000380E-3,-1.000000047E-3,8.062258131E-3
2.107499451E0,2.999999933E-2,-7.000000216E-3,1.499999966E-2,3.426368271E-2
2.117236136E0,2.700000070E-2,4.999999888E-3,2.700000070E-2,3.850974000E-2
2.126972985E0,2.099999972E-2,1.700000092E-2,3.900000080E-2,4.744470552E-2
2.136709602E0,0.000000000E0,2.099999972E-2,3.299999982E-2,3.911521413E-2
2.146446293E0,2.000000095E-3,2.099999972E-2,-2.000000095E-3,2.118961984E-2
2.156183139E0,1.000000047E-3,1.000000047E-3,-5.299999937E-2,5.301886394E-2
2.165919814E0,4.999999888E-3,2.199999988E-2,-4.600000009E-2,5.123475385E-2
2.175656658E0,8.999999613E-3,2.600000054E-2,-2.999999933E-2,4.070626464E-2
2.185393348E0,1.999999955E-2,2.400000021E-2,1.200000010E-2,3.346640098E-2
2.195130192E0,1.300000027E-2,1.200000010E-2,6.700000167E-2,6.929646624E-2
2.204866862E0,2.999999933E-2,-2.500000037E-2,1.169999987E-1,1.233450432E-1
2.214603706E0,1.499999966E-2,-4.500000179E-2,1.560000032E-1,1.630521424E-1
2.224340329E0,-4.000000190E-3,-9.000000358E-2,1.539999992E-1,1.784152471E-1
2.234077019E0,-1.200000010E-2,-1.089999974E-1,1.620000005E-1,1.956246395E-1
2.243813889E0,-1.899999939E-2,-1.099999994E-1,1.239999980E-1,1.668442368E-1
2.253550584E0,-1.499999966E-2,-9.700000286E-2,6.800000370E-2,1.194068719E-1
2.263287213E0,-9.999999776E-3,-8.600000292E-2,-1.700000092E-2,8.823265002E-2
