"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.731361700E-1,-4.800000042E-2,-1.749999970E-1,1.589999944E-1,2.412674806E-1
9.828728600E-1,-1.080000028E-1,-1.909999996E-1,1.040000021E-1,2.428188644E-1
9.926097100E-1,-7.999999821E-2,-9.399999678E-2,5.000000075E-2,1.331765715E-1
1.002346405E0,-1.499999966E-2,-8.699999750E-2,4.519999921E-1,4.605409780E-1
1.012083006E0,8.999999613E-3,-1.599999964E-1,1.700000018E-1,2.336257680E-1
1.021819636E0,-1.609999985E-1,-1.000000015E-1,-1.499999966E-2,1.901210135E-1
1.031556529E0,-1.379999965E-1,-4.899999872E-2,1.899999976E-1,2.398853852E-1
1.041293146E0,-1.159999967E-1,-5.099999905E-2,2.109999955E-1,2.461259783E-1
1.051029766E0,-1.430000067E-1,-7.999999821E-2,1.299999952E-1,2.091626171E-1
1.060766611E0,-1.220000014E-1,-2.999999933E-2,1.539999992E-1,1.987460692E-1
1.070503281E0,-1.490000039E-1,-6.000000052E-3,9.600000083E-2,1.773499403E-1
1.080239896E0,-1.840000004E-1,4.999999888E-3,4.399999976E-2,1.892537981E-1
1.089976730E0,-1.560000032E-1,-2.000000095E-3,6.000000052E-3,1.561281557E-1
1.099713425E0,-1.350000054E-1,-2.600000054E-2,6.000000052E-3,1.376117781E-1
1.109450269E0,-1.159999967E-1,-1.899999939E-2,3.799999878E-2,1.235354164E-1
1.119186886E0,-1.209999993E-1,-1.899999939E-2,7.400000095E-2,1.431013625E-1
1.128923507E0,-1.340000033E-1,-3.599999845E-2,7.500000298E-2,1.577244472E-1
1.138660428E0,-1.340000033E-1,-8.799999952E-2,7.000000030E-2,1.749285593E-1
1.148397074E0,-9.200000018E-2,-1.110000014E-1,4.699999839E-2,1.516377268E-1
1.158133690E0,-8.900000155E-2,-7.000000030E-2,-1.600000076E-2,1.143547128E-1
1.167870390E0,-1.010000035E-1,-4.800000042E-2,-1.019999981E-1,1.513571946E-1
1.177607240E0,-1.449999958E-1,-4.999999888E-3,-1.400000006E-1,2.016184489E-1
1.187343863E0,-1.459999979E-1,2.099999972E-2,-1.430000067E-1,2.054409922E-1
1.197080784E0,-1.439999938E-1,2.300000004E-2,-1.099999994E-1,1.826608827E-1
1.206817406E0,-1.710000038E-1,1.999999955E-2,-1.089999974E-1,2.037694794E-1
1.216554098E0,-2.329999954E-1,4.699999839E-2,-1.230000034E-1,2.676322075E-1
1.226290714E0,-2.750000060E-1,9.700000286E-2,-8.100000024E-2,3.026466651E-1
1.236027558E0,-2.790000141E-1,1.180000007E-1,-6.000000052E-3,3.029868116E-1
1.245764252E0,-1.940000057E-1,1.260000020E-1,5.700000003E-2,2.382456773E-1
1.255500868E0,-1.129999980E-1,9.899999946E-2,1.799999923E-2,1.513076317E-1
1.265237707E0,-5.799999833E-2,3.099999949E-2,-1.180000007E-1,1.350888594E-1
1.274974401E0,8.999999613E-3,-1.490000039E-1,-2.689999938E-1,3.076410210E-1
1.284711031E0,1.099999994E-1,-2.610000074E-1,-2.960000038E-1,4.096791500E-1
1.294447875E0,2.080000043E-1,-2.129999995E-1,-2.080000043E-1,3.631762704E-1
1.304184560E0,1.729999930E-1,-6.300000101E-2,-6.800000370E-2,1.962702173E-1
1.313921180E0,1.659999937E-1,9.999999776E-3,8.100000024E-2,1.849783715E-1
1.323658024E0,1.519999951E-1,-2.199999988E-2,1.800000072E-1,2.366178376E-1
1.333394646E0,1.379999965E-1,-9.899999946E-2,2.280000001E-1,2.843044125E-1
1.343131337E0,1.330000013E-1,-1.360000074E-1,2.469999939E-1,3.117595217E-1
1.352868202E0,1.270000041E-1,-1.500000060E-1,2.000000030E-1,2.804086375E-1
1.362604819E0,1.289999932E-1,-1.140000001E-1,1.260000020E-1,2.133377575E-1
1.372341500E0,1.070000008E-1,-1.260000020E-1,4.199999943E-2,1.705549783E-1
1.382078347E0,4.199999943E-2,-7.599999756E-2,-3.999999911E-2,9.560334466E-2
1.391814964E0,-1.400000043E-2,-3.500000015E-2,-1.650000066E-1,1.692512989E-1
1.401551654E0,-4.199999943E-2,1.700000092E-2,-2.210000008E-1,2.255969866E-1
1.411288491E0,-7.500000298E-2,6.599999964E-2,-2.329999954E-1,2.535152821E-1
1.421025185E0,-1.099999994E-1,8.500000089E-2,-1.930000037E-1,2.378528988E-1
1.430761757E0,-1.490000039E-1,1.030000001E-1,-9.600000083E-2,2.050024423E-1
1.440498601E0,-1.340000033E-1,8.200000226E-2,2.099999972E-2,1.584960607E-1
1.450235214E0,-1.169999987E-1,5.700000003E-2,9.700000286E-2,1.623175907E-1
1.459971904E0,-1.230000034E-1,5.000000075E-2,1.790000051E-1,2.228676799E-1
1.469708735E0,-1.030000001E-1,8.399999887E-2,2.049999982E-1,2.443153681E-1
1.479445353E0,-4.500000179E-2,7.900000364E-2,1.739999950E-1,1.963211629E-1
1.489182038E0,3.900000080E-2,7.800000161E-2,1.250000000E-1,1.524139112E-1
1.498918894E0,1.700000092E-2,6.599999964E-2,4.899999872E-2,8.394045424E-2
1.508655512E0,0.000000000E0,4.600000009E-2,-5.499999970E-2,7.170076691E-2
1.518392212E0,4.000000190E-3,3.799999878E-2,-1.389999986E-1,1.441561636E-1
1.528129067E0,-2.600000054E-2,5.200000107E-2,-1.990000010E-1,2.073185967E-1
1.537865685E0,-5.000000075E-2,6.199999899E-2,-2.319999933E-1,2.452916567E-1
1.547602361E0,-4.100000113E-2,7.400000095E-2,-2.590000033E-1,2.724665153E-1
1.557338978E0,-2.099999972E-2,9.499999881E-2,-2.269999981E-1,2.469716561E-1
1.567075870E0,-3.500000015E-2,1.019999981E-1,-1.739999950E-1,2.047071027E-1
1.576812488E0,-6.400000304E-2,9.600000083E-2,-1.260000020E-1,1.708449621E-1
1.586549098E0,-7.800000161E-2,8.699999750E-2,-7.500000298E-2,1.388452385E-1
1.596285942E0,-1.230000034E-1,9.200000018E-2,1.700000092E-2,1.545380241E-1
1.606022646E0,-1.250000000E-1,7.100000232E-2,8.200000226E-2,1.654992468E-1
1.615759490E0,-1.410000026E-1,4.600000009E-2,1.270000041E-1,1.952588072E-1
1.625496093E0,-1.319999993E-1,3.299999982E-2,1.770000011E-1,2.232532199E-1
1.635232784E0,-1.289999932E-1,-8.000000380E-3,1.729999930E-1,2.159490584E-1
1.644969601E0,-1.319999993E-1,-2.999999933E-2,1.469999999E-1,1.998324291E-1
1.654706218E0,-1.340000033E-1,-3.700000048E-2,1.260000020E-1,1.876192992E-1
1.664442914E0,-1.089999974E-1,-4.000000190E-3,1.529999971E-1,1.878989051E-1
